data,descricao,categoria,valor,tipo
2025-10-01,Salário,receita,4000.00,entrada
2025-10-02,Aluguel,moradia,1000.00,saida
2025-10-03,Supermercado,alimentacao,400.00,saida
2025-10-05,Streaming,lazer,39.90,saida
2025-10-07,Farmácia,saude,70.00,saida
2025-10-10,Restaurante,alimentacao,100.00,saida
2025-10-12,Transporte por aplicativo,transporte,60.00,saida
2025-10-15,Conta de Luz,moradia,150.00,saida
2025-10-20,Academia,saude,90.00,saida
2025-10-25,Transporte público,transporte,120.00,saida
